## Type: detector
## Name: QE Edivent SilVIR blue shifted detector
wavelength,qe
746,0.141113794
747,0.140495457
748,0.13942018
749,0.138441471
750,0.137264446
751,0.136172317
752,0.135119367
753,0.134399298
754,0.134310577
755,0.133632304
756,0.132526098
757,0.131354893
758,0.130301009
759,0.129054027
760,0.128152778
761,0.127650551
762,0.127505218
763,0.126552036
764,0.12547106
765,0.124429629
766,0.124277376
767,0.123917166
768,0.122821405
769,0.121739805
770,0.120670089
771,0.119525324
772,0.118426928
773,0.117652023
774,0.11752428
775,0.117030815
776,0.115706186
777,0.114735541
778,0.114138784
779,0.114081842
780,0.113213155
781,0.112099611
782,0.111096143
783,0.110698344
784,0.110399894
785,0.109624757
786,0.108422538
787,0.107318646
788,0.107325649
789,0.106754876
790,0.105751009
791,0.104677931
792,0.104045867
793,0.104009863
794,0.103146469
795,0.101877984
796,0.101037295
797,0.100546643
798,0.100495829
799,0.099376838
800,0.098285759
801,0.097276141
802,0.097166705
803,0.096740754
804,0.095633912
805,0.094569337
806,0.093763354
807,0.093704254
808,0.093038175
809,0.092027635
810,0.090806403
811,0.089755676
812,0.088809081
813,0.088687769
814,0.088159594
815,0.087245044
816,0.085996658
817,0.084951494
818,0.083852213
819,0.08362501
820,0.083238021
821,0.082444913
822,0.081228867
823,0.080190343
824,0.080206607
825,0.079586422
826,0.078751845
827,0.078551798
828,0.078155558
829,0.077018218
830,0.075923531
831,0.074696002
832,0.073878893
833,0.073434474
834,0.073345001
835,0.072210755
836,0.071706955
837,0.071519096
838,0.070708815
839,0.07005295
840,0.07006669
841,0.069056837
842,0.067838638
843,0.067027053
844,0.066648307
845,0.06637644
846,0.065247531
847,0.064941694
848,0.064667624
849,0.063791824
850,0.062702166
851,0.061869839
852,0.061588046
853,0.061223457
854,0.060063573
855,0.059878152
856,0.059603746
857,0.058420429
858,0.058176664
859,0.057830551
860,0.056979654
861,0.056472487
862,0.056398681
863,0.055318268
864,0.054735619
865,0.05458497
866,0.053803105
867,0.053145136
868,0.053087558
869,0.05226359
870,0.051351005
871,0.051412098
872,0.051438714
873,0.051130868
874,0.050324577
875,0.049744904
876,0.049736676
877,0.048672945
878,0.048003608
879,0.047993486
880,0.047091675
881,0.046195061
882,0.046445143
883,0.045576771
884,0.044655655
885,0.044618924
