## Type: detector
## Name: QE Edivent SilVIR red shifted detector
wavelength,qe
746,0.304461119
747,0.302486069
748,0.300356202
749,0.298129738
750,0.295803552
751,0.294010684
752,0.292813048
753,0.291212639
754,0.288934059
755,0.287746673
756,0.286089709
757,0.284465329
758,0.282025047
759,0.279823508
760,0.277663029
761,0.276101386
762,0.274949206
763,0.274076184
764,0.272434827
765,0.270204501
766,0.268057197
767,0.265599926
768,0.26378809
769,0.261537088
770,0.260057734
771,0.259905923
772,0.258572582
773,0.255958752
774,0.254118589
775,0.251932538
776,0.250271871
777,0.249697319
778,0.249021887
779,0.246375681
780,0.24447836
781,0.242257227
782,0.240426744
783,0.237994441
784,0.236052881
785,0.236080656
786,0.234791907
787,0.232916303
788,0.230425935
789,0.228731225
790,0.227775218
791,0.226685539
792,0.224989356
793,0.223338386
794,0.220806796
795,0.219017505
796,0.218973406
797,0.217684676
798,0.215855074
799,0.214676885
800,0.21352095
801,0.212442265
802,0.210311945
803,0.208379327
804,0.207521577
805,0.206450645
806,0.205407843
807,0.204210897
808,0.203201258
809,0.201579454
810,0.199789898
811,0.198184475
812,0.197263301
813,0.195998255
814,0.194959721
815,0.193898396
816,0.193784036
817,0.193056673
818,0.190789974
819,0.189520641
820,0.188448508
821,0.187307652
822,0.186230707
823,0.185299183
824,0.184072917
825,0.183051861
826,0.181800695
827,0.180846182
828,0.17975251
829,0.17882997
830,0.177574396
831,0.176522455
832,0.175346307
833,0.174280308
834,0.173242898
835,0.172313442
836,0.171104758
837,0.170007273
838,0.168920187
839,0.167739215
840,0.166737418
841,0.165795013
842,0.164279188
843,0.161859392
844,0.161530631
845,0.160805653
846,0.159153245
847,0.158165653
848,0.158062141
849,0.155825561
850,0.153640409
851,0.151632341
852,0.151370198
853,0.150973554
854,0.14984894
855,0.148778334
856,0.147130725
857,0.145353676
858,0.143818171
859,0.142881799
860,0.141637514
861,0.140620261
862,0.139342021
863,0.138427276
864,0.136800436
865,0.135037472
866,0.133420896
867,0.132439256
868,0.131123678
869,0.129377457
870,0.127619995
871,0.126326187
872,0.12523253
873,0.12413293
874,0.121910113
875,0.120857365
876,0.120735818
877,0.118823995
878,0.116620063
879,0.114648053
880,0.114106741
881,0.113327048
882,0.111627262
883,0.109119113
884,0.107197523
885,0.107176839
886,0.105954122
887,0.104109135
888,0.102922796
889,0.101764522
890,0.1007331
891,0.098603928
892,0.097144445
893,0.096947251
894,0.095636267
895,0.093566644
896,0.090832643
897,0.090913367
