## Type: dye
## Name: Atto643
Extinction coefficient: 150000
Quantum Yield: 0.62
wavelength,absorption,emission
300,0.09264242649078369,0
301,0.09636060893535614,0
302,0.09996406733989716,0
303,0.10345281660556793,0
304,0.10682684183120728,0
305,0.1101861447095871,0
306,0.11337662488222122,0
307,0.11635497957468033,0
308,0.11921212077140808,0
309,0.12183982878923416,0
310,0.12421645224094391,0
311,0.12649783492088318,0
312,0.12839826941490173,0
313,0.1299913376569748,0
314,0.13123810291290283,0
315,0.13183549046516418,0
316,0.13178788125514984,0
317,0.13069696724414825,0
318,0.128896102309227,0
319,0.12631601095199585,0
320,0.12337662279605865,0
321,0.11994372308254242,0
322,0.1160389631986618,0
323,0.11146320402622223,0
324,0.10612986981868744,0
325,0.09997402876615524,0
326,0.09305627644062042,0
327,0.08561038970947266,0
328,0.07809091359376907,0
329,0.07041991502046585,0
330,0.06280519813299179,0
331,0.05565368011593819,0
332,0.049242425709962845,0
333,0.04367532581090927,0
334,0.0389307364821434,0
335,0.03496536985039711,0
336,0.03171428665518761,0
337,0.028805194422602654,0
338,0.026268398389220238,0
339,0.024064935743808746,0
340,0.02212986908853054,0
341,0.020463204011321068,0
342,0.019220778718590736,0
343,0.018186146393418312,0
344,0.01725108176469803,0
345,0.016506493091583252,0
346,0.015909092500805855,0
347,0.015281385742127895,0
348,0.014735930599272251,0
349,0.014251082204282284,0
350,0.014047618955373764,0
351,0.013969697058200836,0
352,0.013909091241657734,0
353,0.014000000432133675,0
354,0.014000000432133675,0
355,0.014000000432133675,0
356,0.013909091241657734,0
357,0.013969697058200836,0
358,0.014047618955373764,0
359,0.014251082204282284,0
360,0.014735930599272251,0
361,0.015281385742127895,0
362,0.015909092500805855,0
363,0.016688311472535133,0
364,0.017311688512563705,0
365,0.017999999225139618,0
366,0.01868831180036068,0
367,0.019311686977744102,0
368,0.02009090781211853,0
369,0.02062770538032055,0
370,0.02123376540839672,0
371,0.02188744582235813,0
372,0.022233765572309494,0
373,0.02253679744899273,0
374,0.022969696670770645,0
375,0.02341991290450096,0
376,0.024108225479722023,0
377,0.024878788739442825,0
378,0.026000000536441803,0
379,0.0269393939524889,0
380,0.027831168845295906,0
381,0.02876623347401619,0
382,0.02974458783864975,0
383,0.03067532554268837,0
384,0.03180086612701416,0
385,0.03316882997751236,0
386,0.03449350595474243,0
387,0.03548917919397354,0
388,0.03658008575439453,0
389,0.03752380982041359,0
390,0.038121212273836136,0
391,0.03854978457093239,0
392,0.039030302315950394,0
393,0.03958441689610481,0
394,0.039748918265104294,0
395,0.03972294181585312,0
396,0.03965801000595093,0
397,0.039554111659526825,0
398,0.039168830960989,0
399,0.038740258663892746,0
400,0.03850649297237396,0
401,0.03841991350054741,0
402,0.038298700004816055,0
403,0.03858441486954689,0
404,0.03920779004693031,0
405,0.040389612317085266,0
406,0.04164502024650574,0
407,0.04302164539694786,0
408,0.04476623609662056,0
409,0.046372294425964355,0
410,0.04800000041723251,0
411,0.04971861466765404,0
412,0.05144588649272919,0
413,0.05290043354034424,0
414,0.053887445479631424,0
415,0.05448051914572716,0
416,0.05454978346824646,0
417,0.05385281518101692,0
418,0.05274458974599838,0
419,0.051134198904037476,0
420,0.049194805324077606,0
421,0.046792205423116684,0
422,0.04401298612356186,0
423,0.0409826822578907,0
424,0.03771861642599106,0
425,0.034372296184301376,0
426,0.031138528138399124,0
427,0.027878787368535995,0
428,0.02478787861764431,0
429,0.02201731503009796,0
430,0.01938961073756218,0
431,0.01692640595138073,0
432,0.01475757546722889,0
433,0.012926407158374786,0
434,0.011389610357582569,0
435,0.010017315857112408,0
436,0.008878787979483604,0
437,0.007818181999027729,0
438,0.006969696842133999,0
439,0.006047619041055441,0
440,0.0052510821260511875,0
441,0.004645021632313728,0
442,0.004341991618275642,0
443,0.004077922087162733,0
444,0.0038311691023409367,0
445,0.003536796662956476,0
446,0.0033722943626344204,0
447,0.0031385282054543495,0
448,0.0029696968849748373,0
449,0.0029090908356010914,0
450,0.003000000026077032,0
451,0.003000000026077032,0
452,0.003000000026077032,0
453,0.003000000026077032,0
454,0.003000000026077032,0
455,0.003000000026077032,0
456,0.003000000026077032,0
457,0.003000000026077032,0
458,0.003000000026077032,0
459,0.003000000026077032,0
460,0.003090908983722329,0
461,0.002939393976703286,0
462,0.0028311689384281635,0
463,0.002766233868896961,0
464,0.0027445887681096792,0
465,0.002766233868896961,0
466,0.0028311689384281635,0
467,0.002939393976703286,0
468,0.003090908983722329,0
469,0.003000000026077032,0
470,0.003000000026077032,0
471,0.003000000026077032,0
472,0.003000000026077032,0
473,0.003000000026077032,0
474,0.003000000026077032,0
475,0.003000000026077032,0
476,0.003000000026077032,0
477,0.003000000026077032,0
478,0.003000000026077032,0
479,0.003000000026077032,0
480,0.003000000026077032,0
481,0.003000000026077032,0
482,0.0029090908356010914,0
483,0.0029696968849748373,0
484,0.0031385282054543495,0
485,0.0033722943626344204,0
486,0.003627705853432417,0
487,0.003861472010612488,0
488,0.004030303098261356,0
489,0.004090909380465746,0
490,0.004000000189989805,0
491,0.004000000189989805,0
492,0.0039090909995138645,0
493,0.003969697281718254,0
494,0.004138528369367123,0
495,0.0043722945265471935,0
496,0.004536796361207962,0
497,0.0048311688005924225,0
498,0.00516883097589016,0
499,0.00546320341527462,0
500,0.005627705715596676,0
501,0.005861471872776747,0
502,0.006030302960425615,0
503,0.006000000052154064,0
504,0.005969697143882513,0
505,0.006138528231531382,0
506,0.006281385198235512,0
507,0.006597402971237898,0
508,0.007000000216066837,0
509,0.007402597460895777,0
510,0.007718615233898163,0
511,0.007770563010126352,0
512,0.00800000037997961,0
513,0.00813852809369564,0
514,0.00834199134260416,0
515,0.008766233921051025,0
516,0.009142857044935226,0
517,0.009627705439925194,0
518,0.009999999776482582,0
519,0.01037229411303997,0
520,0.010766233317553997,0
521,0.011112553998827934,0
522,0.01176623348146677,0
523,0.012372294440865517,0
524,0.013000000268220901,0
525,0.013627705164253712,0
526,0.014142856933176517,0
527,0.01476623397320509,0
528,0.015341991558670998,0
529,0.01604761928319931,0
530,0.016969697549939156,0
531,0.017909090965986252,0
532,0.01899999938905239,0
