#Type: filter
#Name: H 690/70 AHF F49-691
wavelength,transmission
626,1,8654E-06
627,1,97494E-06
628,2,1754E-06
629,1,75878E-06
630,2,64941E-06
631,2,0749E-06
632,9,02337E-07
633,2,54196E-06
634,2,92295E-06
635,3,47784E-06
636,3,64552E-06
637,3,09867E-06
638,3,11121E-06
639,3,07232E-06
640,3,4731E-06
641,3,83257E-06
642,4,03255E-06
643,3,65742E-06
644,3,23293E-06
645,3,94505E-06
646,3,63521E-06
647,3,82545E-06
648,3,77073E-06
649,3,94968E-06
650,5,51548E-06
651,1,10033E-05
652,5,40156E-05
653,0,000379204
654,0,004027161
655,0,147210233
656,0,740921163
657,0,851553621
658,0,93487012
659,0,94650519
660,0,94002986
661,0,92113629
662,0,93697488
663,0,95395374
664,0,94773346
665,0,93930075
666,0,94967341
667,0,96104154
668,0,95921195
669,0,95570233
670,0,95765465
671,0,96275216
672,0,96393168
673,0,95905066
674,0,95663559
675,0,95924374
676,0,96568429
677,0,96375462
678,0,95942813
679,0,95631418
680,0,95760536
681,0,96190703
682,0,96570069
683,0,96380052
684,0,9611997
685,0,95978856
686,0,96065778
687,0,96348277
688,0,96545368
689,0,9646441
690,0,96471119
691,0,964068
692,0,96517688
693,0,96524391
694,0,96401268
695,0,96367621
696,0,96336085
697,0,96255532
698,0,96208465
699,0,96196845
700,0,96097165
701,0,95991448
702,0,9612118
703,0,96129686
704,0,95987624
705,0,95946857
706,0,95909137
707,0,95906565
708,0,95942056
709,0,95737383
710,0,95691907
711,0,95619178
712,0,95770842
713,0,95628113
714,0,95232016
715,0,94862476
716,0,95024228
717,0,95094383
718,0,94604182
719,0,94129661
720,0,94094485
721,0,94160771
722,0,93591762
723,0,93029866
724,0,91175497
725,0,82910833
726,0,562810252
727,0,059922097
728,0,005529133
729,0,000648639
730,0,000110017
731,2,51915E-05
732,9,4443E-06
733,4,75464E-06
734,3,62631E-06
735,3,55364E-06
736,4,71212E-06
737,4,74862E-06
738,2,19074E-06
739,3,62402E-06
740,3,18828E-06
741,1,71524E-06
742,3,14177E-06
743,3,3267E-06
744,3,36675E-06
745,6,05011E-06
746,2,65552E-06
747,1,21066E-06
748,3,29972E-06
749,4,36325E-06
750,2,6727E-06
751,4,2855E-06
752,3,56688E-06
753,2,91911E-06
754,3,41364E-06
755,3,62583E-06
756,2,66583E-06
757,4,06004E-06
758,3,71927E-06
759,2,47773E-06
760,0,000005284
761,4,23521E-06
762,2,73467E-06
763,3,08557E-06
764,4,53688E-06
765,6,6168E-06
766,3,40177E-06
767,4,06529E-06
768,3,21804E-06
769,5,66732E-06
770,1,92919E-06
771,4,32857E-06
772,3,28408E-06
773,2,95846E-06
774,3,50964E-06
775,6,00244E-06
776,3,94642E-06
777,4,29144E-06
778,3,57418E-06
779,4,3991E-06
780,3,96249E-06
781,3,96885E-06
782,4,77058E-06
783,3,91252E-06
784,3,98088E-06
785,3,80244E-06
786,3,23745E-06
787,3,95984E-06
788,4,82415E-06
789,2,3994E-06
790,3,35557E-06
791,3,78518E-06
792,1,45834E-06
793,5,48882E-06
794,1,62093E-06
795,2,79611E-06
796,5,41811E-06
797,6,27548E-06
798,5,88396E-06
799,4,26535E-06
800,6,58663E-06
