#Type: filter
#Name: HC 520/35 AHF F37-520
wavelength,transmission
325.4,4.2332E-08
325.6,4.1837E-08
325.8,4.1349E-08
326,4.0866E-08
326.2,4.0389E-08
326.4,3.9918E-08
326.6,3.9452E-08
326.8,3.8992E-08
327,3.8536E-08
327.2,4.1071E-08
327.4,4.5627E-08
327.6,5.0689E-08
327.8,5.6313E-08
328,6.256E-08
328.2,6.9501E-08
328.4,7.7211E-08
328.6,8.5777E-08
328.8,9.5294E-08
329,1.0587E-07
329.2,1.1761E-07
329.4,1.3066E-07
329.6,1.4515E-07
329.8,1.6126E-07
330,1.7915E-07
330.2,1.9902E-07
330.4,2.211E-07
330.6,2.4563E-07
330.8,2.7288E-07
331,3.0316E-07
331.2,3.1081E-07
331.4,2.7359E-07
331.6,2.4084E-07
331.8,0.000000212
332,1.8662E-07
332.2,1.6428E-07
332.4,1.4461E-07
332.6,1.273E-07
332.8,1.1205E-07
333,9.8638E-08
333.2,8.6829E-08
333.4,7.6433E-08
333.6,6.7282E-08
333.8,5.9226E-08
334,5.2135E-08
334.2,4.5893E-08
334.4,4.0399E-08
334.6,3.5562E-08
334.8,3.1304E-08
335,2.7556E-08
335.2,2.446E-08
335.4,2.5056E-08
335.6,2.5666E-08
335.8,2.6291E-08
336,2.6932E-08
336.2,2.7588E-08
336.4,2.826E-08
336.6,2.8948E-08
336.8,2.9653E-08
337,3.0375E-08
337.2,3.1115E-08
337.4,3.1873E-08
337.6,3.265E-08
337.8,3.3445E-08
338,3.426E-08
338.2,3.5094E-08
338.4,3.5949E-08
338.6,3.6825E-08
338.8,3.7722E-08
339,3.864E-08
339.2,3.9582E-08
339.4,3.9531E-08
339.6,3.919E-08
339.8,3.8852E-08
340,3.8518E-08
340.2,3.8186E-08
340.4,3.7857E-08
340.6,3.7531E-08
340.8,3.7207E-08
341,3.6887E-08
341.2,3.6569E-08
341.4,3.6254E-08
341.6,3.5942E-08
341.8,3.5632E-08
342,3.5325E-08
342.2,3.5021E-08
342.4,3.4719E-08
342.6,3.442E-08
342.8,3.4123E-08
343,3.3829E-08
343.2,3.3538E-08
343.4,3.2763E-08
343.6,3.1539E-08
343.8,3.036E-08
344,2.9226E-08
344.2,2.8133E-08
344.4,2.7082E-08
344.6,2.607E-08
344.8,2.5096E-08
345,2.4158E-08
345.2,2.3255E-08
345.4,2.2386E-08
345.6,2.1549E-08
345.8,2.0744E-08
346,1.9969E-08
346.2,1.9222E-08
346.4,1.8504E-08
346.6,1.7813E-08
346.8,1.7147E-08
347,1.6506E-08
347.2,1.5889E-08
347.4,1.5438E-08
347.6,1.5445E-08
347.8,1.5452E-08
348,1.546E-08
348.2,1.5467E-08
348.4,1.5474E-08
348.6,1.5482E-08
348.8,1.5489E-08
349,1.5496E-08
349.2,1.5504E-08
349.4,1.5511E-08
349.6,1.5518E-08
349.8,1.5526E-08
350,1.5533E-08
350.2,1.5541E-08
350.4,1.5548E-08
350.6,1.5555E-08
350.8,1.5563E-08
351,1.557E-08
351.2,1.5578E-08
351.4,1.5585E-08
351.6,1.8021E-08
351.8,2.0883E-08
352,2.42E-08
352.2,2.8044E-08
352.4,3.2499E-08
352.6,3.7661E-08
352.8,4.3644E-08
353,5.0576E-08
353.2,5.861E-08
353.4,6.792E-08
353.6,7.8709E-08
353.8,9.1211E-08
354,1.057E-07
354.2,1.2249E-07
354.4,1.4195E-07
354.6,1.6449E-07
354.8,1.9062E-07
355,2.209E-07
355.2,2.5599E-07
355.4,2.9665E-07
355.6,2.9656E-07
355.8,2.8148E-07
356,2.6716E-07
356.2,2.5358E-07
356.4,2.4068E-07
356.6,2.2844E-07
356.8,2.1682E-07
357,2.0579E-07
357.2,1.9533E-07
357.4,1.8539E-07
357.6,1.7596E-07
357.8,1.6701E-07
358,1.5852E-07
358.2,1.5046E-07
358.4,1.428E-07
358.6,1.3554E-07
358.8,1.2865E-07
359,1.221E-07
359.2,1.1589E-07
359.4,0.00000011
359.6,1.4085E-07
359.8,2.4187E-07
360,4.1533E-07
360.2,4.3443E-07
360.4,4.5441E-07
360.6,4.7531E-07
360.8,4.9717E-07
361,5.2004E-07
361.2,5.4395E-07
361.4,5.6897E-07
361.6,5.9514E-07
361.8,6.2251E-07
362,6.5114E-07
362.2,6.8109E-07
362.4,7.1241E-07
362.6,7.4518E-07
362.8,7.7945E-07
363,7.8977E-07
363.2,7.9369E-07
363.4,7.9763E-07
363.6,8.0159E-07
363.8,8.0558E-07
364,8.0958E-07
364.2,8.136E-07
364.4,8.1764E-07
364.6,8.217E-07
364.8,8.2578E-07
365,8.2988E-07
365.2,0.000000834
365.4,8.3814E-07
365.6,8.4231E-07
365.8,8.4649E-07
366,8.5069E-07
366.2,8.5492E-07
366.4,8.5917E-07
366.6,8.6343E-07
366.8,8.6772E-07
367,8.6905E-07
367.2,8.6774E-07
367.4,8.6643E-07
367.6,8.6512E-07
367.8,8.6382E-07
368,8.6251E-07
368.2,8.6121E-07
368.4,8.5991E-07
368.6,8.5862E-07
368.8,8.5732E-07
369,8.5603E-07
369.2,8.5474E-07
369.4,8.5345E-07
369.6,8.5216E-07
369.8,8.5087E-07
370,8.4959E-07
370.2,8.9041E-07
370.4,9.3319E-07
370.6,9.7803E-07
370.8,0.000001025
371,1.0743E-06
371.2,1.1259E-06
371.4,0.00000118
371.6,1.2367E-06
371.8,1.2961E-06
372,1.3583E-06
372.2,1.4236E-06
372.4,0.000001492
372.6,1.5637E-06
372.8,1.6388E-06
373,1.6618E-06
373.2,1.6717E-06
373.4,1.6817E-06
373.6,1.6917E-06
373.8,1.7017E-06
374,1.7119E-06
374.2,1.7221E-06
374.4,1.7323E-06
374.6,1.7426E-06
374.8,0.000001753
375,1.7634E-06
375.2,1.7739E-06
375.4,1.7845E-06
375.6,1.7951E-06
375.8,1.8058E-06
376,1.8166E-06
376.2,1.8274E-06
376.4,1.8382E-06
376.6,1.8492E-06
376.8,1.8602E-06
377,1.8079E-06
377.2,1.7082E-06
377.4,0.000001614
377.6,1.5251E-06
377.8,0.000001441
378,1.3615E-06
378.2,1.2865E-06
378.4,1.2156E-06
378.6,1.1485E-06
378.8,1.0852E-06
379,1.0254E-06
379.2,9.6886E-07
379.4,9.1545E-07
379.6,8.6498E-07
379.8,8.1729E-07
380,7.7224E-07
380.2,7.7566E-07
380.4,7.7909E-07
380.6,7.8254E-07
380.8,7.8601E-07
381,7.8949E-07
381.2,7.9298E-07
381.4,7.965E-07
381.6,8.0002E-07
381.8,8.0357E-07
382,8.0713E-07
382.2,8.107E-07
382.4,8.1429E-07
382.6,8.179E-07
382.8,8.2152E-07
383,8.2855E-07
383.2,8.3653E-07
383.4,8.4459E-07
383.6,8.5272E-07
383.8,8.6093E-07
384,8.6923E-07
384.2,8.776E-07
