## Type: filter
## Name: 691/64 Ziva Cy5 10-10874
## downloaded from https://lumencor.com/products/accessories/dichroic-mirrors-and-filters
wavelength,transmission
641.0,-0.0147
641.5,-0.01344
642.0,-0.01468
642.5,-0.03206
643.0,-0.00981
643.5,-0.01562
644.0,-0.02801
644.5,-0.01369
645.0,-0.00819
645.5,-0.02985
646.0,-0.02572
646.5,0.001871
647.0,-0.01465
647.5,-0.0046
648.0,-0.01865
648.5,-0.01344
649.0,-0.01297
649.5,-0.01096
650.0,-0.00449
650.5,-0.00417
651.0,-0.02375
651.5,-0.00664
652.0,0.003189
652.5,-0.01981
653.0,0.009099
653.5,-0.00111
654.0,-0.01107
654.5,-0.01623
655.0,0.022319
655.5,0.00695
656.0,0.017438
656.5,0.038034
657.0,0.104151
657.5,0.34268
658.0,0.981084
658.5,2.931552
659.0,9.274717
659.5,28.91659
660.0,65.66001
660.5,90.87194
661.0,97.17678
661.5,98.0958
662.0,97.77978
662.5,98.23039
663.0,98.00265
663.5,98.10882
664.0,97.83861
664.5,98.21739
665.0,97.43157
665.5,97.59753
666.0,97.35265
666.5,97.16673
667.0,97.57867
667.5,98.09541
668.0,98.13848
668.5,98.28506
669.0,98.33689
669.5,97.89198
670.0,97.84195
670.5,97.95615
671.0,98.25111
671.5,98.22456
672.0,98.60061
672.5,98.77083
673.0,98.2955
673.5,98.50177
674.0,97.82803
674.5,97.43394
675.0,97.0788
675.5,97.57625
676.0,97.39499
676.5,97.59118
677.0,97.87549
677.5,98.39301
678.0,98.65008
678.5,98.22372
679.0,98.12689
679.5,98.05557
680.0,97.4718
680.5,97.89078
681.0,97.36903
681.5,97.81585
682.0,97.567
682.5,97.79851
683.0,97.9918
683.5,98.08519
684.0,98.6624
684.5,98.6162
685.0,98.57833
685.5,98.77096
686.0,98.60057
686.5,98.38727
687.0,98.91855
687.5,98.65263
688.0,98.7003
688.5,98.31816
689.0,98.44022
689.5,98.29711
690.0,98.50485
690.5,98.84907
691.0,98.79688
691.5,98.58746
692.0,98.43698
692.5,98.32048
693.0,98.48741
693.5,98.50116
694.0,98.85615
694.5,98.72377
695.0,99.29313
695.5,98.77878
696.0,98.56953
696.5,98.23376
697.0,98.30927
697.5,98.46971
698.0,98.52193
698.5,98.31152
699.0,98.34088
699.5,98.11966
700.0,99.26007
700.5,98.96672
701.0,99.41365
701.5,98.81125
702.0,98.46274
702.5,98.77106
703.0,98.4494
703.5,98.4683
704.0,98.44457
704.5,98.05767
705.0,98.55518
705.5,98.98991
706.0,98.78543
706.5,98.46063
707.0,98.8466
707.5,98.64215
708.0,98.66429
708.5,98.62879
709.0,98.46685
709.5,98.08927
710.0,98.41092
710.5,97.71949
711.0,98.06957
711.5,98.05051
712.0,98.51186
712.5,98.36852
713.0,98.39598
713.5,98.72573
714.0,98.43196
714.5,98.36225
715.0,98.74967
715.5,98.2454
716.0,98.69804
716.5,98.29754
717.0,97.65003
717.5,96.23789
718.0,94.13652
718.5,93.67314
719.0,94.65717
719.5,96.30755
720.0,77.42596
720.5,36.34358
721.0,11.58632
721.5,3.895144
722.0,1.330972
722.5,0.580947
723.0,0.178641
723.5,0.167724
724.0,0.098034
724.5,-0.0247
725.0,0.026221
725.5,0.059181
726.0,-0.00142
726.5,-0.03884
727.0,-0.00766
727.5,0.050668
728.0,0.012518
728.5,-0.05777
729.0,0.096459
729.5,0.029822
730.0,0.05583
730.5,-0.03856
731.0,0.036135
731.5,0.037293
732.0,0.054788
732.5,-0.02179
733.0,-0.05029
733.5,-0.05514
734.0,0.054553
734.5,0.011059
735.0,-0.08623
735.5,-0.06326
736.0,0.077914
736.5,-0.02627
737.0,-0.09727
737.5,0.012434
738.0,-0.09502
738.5,0.002423
739.0,-0.06366
739.5,0.010713
740.0,0.073649
740.5,-0.03194
741.0,0.088072
