#Type: Filter
#Name: FF01-550/49 AHF F37-551
wavelength,transmission
401,1.4042E-08
401.2,1.392E-08
401.4,1.38E-08
401.6,1.368E-08
401.8,1.3561E-08
402,1.3443E-08
402.2,1.3327E-08
402.4,1.3211E-08
402.6,1.3097E-08
402.8,1.2983E-08
403,1.287E-08
403.2,1.2759E-08
403.4,1.2648E-08
403.6,1.2538E-08
403.8,1.2429E-08
404,1.2321E-08
404.2,1.3456E-08
404.4,1.4939E-08
404.6,1.6585E-08
404.8,1.8412E-08
405,2.0441E-08
405.2,2.2693E-08
405.4,2.5193E-08
405.6,2.7969E-08
405.8,3.1051E-08
406,3.4472E-08
406.2,3.827E-08
406.4,4.2486E-08
406.6,4.7167E-08
406.8,5.2364E-08
407,5.8134E-08
407.2,6.4539E-08
407.4,7.165E-08
407.6,7.9544E-08
407.8,8.5677E-08
408,8.6407E-08
408.2,8.7143E-08
408.4,8.7886E-08
408.6,8.8635E-08
408.8,8.9391E-08
409,9.0153E-08
409.2,9.0921E-08
409.4,9.1696E-08
409.6,9.2477E-08
409.8,9.3266E-08
410,9.406E-08
410.2,9.4862E-08
410.4,9.5671E-08
410.6,9.6486E-08
410.8,9.7308E-08
411,9.8138E-08
411.2,9.8974E-08
411.4,9.9818E-08
411.6,0.0000001
411.8,0.0000001
412,0.0000001
412.2,0.0000001
412.4,0.0000001
412.6,0.0000001
412.8,0.0000001
413,0.0000001
413.2,0.0000001
413.4,0.0000001
413.6,0.0000001
413.8,0.0000001
414,0.0000001
414.2,0.0000001
414.4,0.0000001
414.6,0.0000001
414.8,0.0000001
415,0.0000001
415.2,0.0000001
415.4,0.0000001
415.6,0.0000001
415.8,0.0000001
416,0.0000001
416.2,0.0000001
416.4,0.0000001
416.6,0.0000001
416.8,0.0000001
417,0.0000001
417.2,0.0000001
417.4,0.0000001
417.6,0.0000001
417.8,0.0000001
418,0.0000001
418.2,0.0000001
418.4,0.0000001
418.6,0.0000001
418.8,0.0000001
419,9.399E-08
419.2,8.6581E-08
419.4,7.9757E-08
419.6,7.3471E-08
419.8,6.768E-08
420,6.2345E-08
420.2,5.7431E-08
420.4,5.2905E-08
420.6,4.8735E-08
420.8,4.4893E-08
421,4.1355E-08
421.2,3.8095E-08
421.4,3.5093E-08
421.6,3.2327E-08
421.8,2.9779E-08
422,2.7432E-08
422.2,2.5269E-08
422.4,2.3278E-08
422.6,2.236E-08
422.8,2.4274E-08
423,2.6353E-08
423.2,2.8609E-08
423.4,3.1058E-08
423.6,3.3717E-08
423.8,3.6603E-08
424,3.9737E-08
424.2,4.3139E-08
424.4,4.6832E-08
424.6,5.0842E-08
424.8,5.5194E-08
425,5.992E-08
425.2,6.5049E-08
425.4,7.0618E-08
425.6,7.6664E-08
425.8,8.3228E-08
426,9.0353E-08
426.2,9.8088E-08
426.4,1.2353E-07
426.6,1.6284E-07
426.8,2.1465E-07
427,2.8296E-07
427.2,2.9588E-07
427.4,3.094E-07
427.6,3.2353E-07
427.8,3.3831E-07
428,3.5376E-07
428.2,3.6992E-07
428.4,3.8682E-07
428.6,4.0449E-07
428.8,4.2297E-07
429,4.4229E-07
429.2,4.6249E-07
429.4,4.8362E-07
429.6,5.0571E-07
429.8,5.2881E-07
430,5.5296E-07
430.2,5.7887E-07
430.4,6.1293E-07
430.6,6.4899E-07
430.8,6.8717E-07
431,7.276E-07
431.2,7.7041E-07
431.4,8.1574E-07
431.6,8.6373E-07
431.8,9.1454E-07
432,9.6835E-07
432.2,1.0253E-06
432.4,1.0856E-06
432.6,1.1495E-06
432.8,1.2171E-06
433,1.2888E-06
433.2,1.3646E-06
433.4,1.4449E-06
433.6,1.5299E-06
433.8,1.6199E-06
434,1.6772E-06
434.2,1.7051E-06
434.4,1.7335E-06
434.6,1.7623E-06
434.8,1.7916E-06
435,1.8214E-06
435.2,1.8516E-06
435.4,1.8824E-06
435.6,1.9137E-06
435.8,1.9455E-06
436,1.9779E-06
436.2,2.0107E-06
436.4,2.0442E-06
436.6,2.0782E-06
436.8,2.1127E-06
437,2.1478E-06
437.2,2.1835E-06
437.4,2.2198E-06
437.6,0.000002257
437.8,0.000002309
438,2.3623E-06
438.2,2.4167E-06
438.4,2.4724E-06
438.6,2.5294E-06
438.8,2.5877E-06
439,2.6474E-06
439.2,2.7084E-06
439.4,2.7709E-06
439.6,2.8347E-06
439.8,2.9001E-06
440,2.9669E-06
440.2,3.0353E-06
440.4,3.1053E-06
440.6,3.1769E-06
440.8,3.2501E-06
441,0.000003325
441.2,3.4017E-06
441.4,0.000003461
441.6,3.5021E-06
441.8,3.5436E-06
442,3.5857E-06
442.2,3.6282E-06
442.4,3.6713E-06
442.6,3.7149E-06
442.8,3.7589E-06
