## Type: filter
## Name: Ziva filter 606/18 (10-11078)
## emailed from Lumencor 2024/04/29
wavelength,transmission
300,0.0000001
300.5,0.0000001
301,0.0000001
301.5,0.0000001
302,2.03626E-05
302.5,2.17436E-05
303,5.00601E-05
303.5,3.246E-05
304,1.74448E-05
304.5,5.40561E-06
305,3.45929E-06
305.5,1.69374E-06
306,9.16091E-06
306.5,3.1408E-05
307,4.52776E-05
307.5,2.68105E-05
308,1.60871E-05
308.5,2.34567E-05
309,1.62443E-05
309.5,2.61638E-05
310,1.19805E-05
310.5,1.96776E-05
311,1.7944E-05
311.5,2.7291E-05
312,4.33576E-05
312.5,2.85594E-05
313,9.7235E-06
313.5,0.0000001
314,0.0000001
314.5,0.0000001
315,0.0000001
315.5,0.0000001
316,4.40249E-06
316.5,0.0000001
317,0.0000001
317.5,0.0000001
318,0.0000001
318.5,0.0000001
319,0.0000001
319.5,0.0000001
320,0.0000001
320.5,6.72571E-06
321,0.0000001
321.5,0.0000001
322,0.0000001
322.5,9.87814E-06
323,0.0000001
323.5,7.3287E-06
324,1.29111E-05
324.5,3.57077E-05
325,0.0000001
325.5,0.0000001
326,0.0000001
326.5,3.14163E-05
327,4.39452E-05
327.5,1.18705E-05
328,2.07725E-05
328.5,3.33473E-05
329,5.46809E-05
329.5,2.27604E-05
330,1.1201E-05
330.5,0.0000001
331,1.26311E-05
331.5,0.0000001
332,0.0000001
332.5,0.0000001
333,0.0000001
333.5,0.0000001
334,1.09257E-05
334.5,0.0000001
335,0.0000001
335.5,0.0000001
336,0.0000001
336.5,0.0000001
337,0.0000001
337.5,0.0000001
338,0.0000001
338.5,9.90688E-07
339,0.0000001
339.5,0.0000001
340,0.0000001
340.5,0.0000001
341,3.78843E-05
341.5,6.7409E-05
342,6.78164E-05
342.5,8.11352E-06
343,0.0000001
343.5,0.0000001
344,0.0000001
344.5,4.53681E-05
345,0.0000001
345.5,0.0000001
346,0.0000001
346.5,4.54573E-05
347,7.41611E-05
347.5,3.56062E-05
348,0.0000001
348.5,3.29982E-05
349,0.0000001
349.5,0.0000001
350,0.0000001
350.5,8.51397E-06
351,3.12271E-06
351.5,2.21207E-05
352,2.60502E-05
352.5,2.16777E-05
353,1.47066E-05
353.5,1.41416E-05
354,3.20563E-05
354.5,3.7688E-05
355,3.0845E-05
355.5,2.00152E-05
356,1.22201E-05
356.5,1.59461E-05
357,2.24225E-05
357.5,1.59399E-05
358,1.54121E-05
358.5,1.82843E-05
359,2.29065E-05
359.5,3.54327E-05
360,5.81608E-05
360.5,8.63086E-05
361,0.00011442
361.5,0.000135675
362,0.00013304
362.5,0.00011955
363,8.65935E-05
363.5,5.94492E-05
364,2.93682E-05
364.5,8.62362E-06
365,9.10849E-06
365.5,1.32041E-05
366,1.06134E-05
366.5,2.05697E-06
367,0.0000001
367.5,0.0000001
368,4.32931E-07
368.5,7.10665E-06
369,1.07393E-05
369.5,9.86002E-06
370,3.94016E-06
370.5,0.0000001
371,0.0000001
371.5,0.0000001
372,3.86416E-06
372.5,5.456E-07
373,1.27299E-06
373.5,4.89502E-07
374,0.0000001
374.5,0.0000001
375,0.0000001
375.5,8.72611E-06
376,1.19786E-05
376.5,1.39213E-05
377,7.44214E-06
377.5,5.42822E-06
378,1.54391E-07
378.5,0.0000001
379,0.0000001
379.5,2.78865E-06
380,1.84728E-05
380.5,2.94464E-05
381,3.11319E-05
381.5,2.61575E-05
382,2.01603E-05
382.5,6.52125E-06
383,0.0000001
383.5,5.78676E-07
384,9.74451E-06
384.5,1.71455E-05
385,1.55785E-05
385.5,1.25816E-05
386,8.58577E-06
386.5,5.08244E-06
387,3.90112E-06
387.5,0.0000001
388,0.0000001
388.5,3.38929E-06
389,7.63164E-06
389.5,3.60099E-06
390,0.0000001
390.5,2.01881E-06
391,7.70504E-06
391.5,6.86053E-06
392,6.51713E-06
392.5,0.0000001
393,0.0000001
393.5,0.0000001
394,0.0000001
394.5,1.73349E-06
395,2.62103E-06
395.5,3.42107E-06
396,4.40633E-06
396.5,8.29171E-06
397,5.84776E-06
397.5,2.81544E-06
398,1.86927E-06
398.5,0.0000001
399,2.87214E-06
399.5,0.0000001
400,1.05134E-05
400.5,7.89982E-06
401,1.67832E-05
401.5,1.68128E-05
402,1.71509E-05
402.5,1.26301E-05
403,9.35302E-06
403.5,7.22213E-06
404,4.88888E-06
404.5,2.29301E-07
405,3.67291E-06
405.5,3.04199E-06
406,7.55767E-06
406.5,7.159E-06
407,4.76615E-06
407.5,4.3875E-07
408,1.95665E-06
408.5,4.63945E-06
409,9.55143E-06
409.5,3.53979E-06
410,8.92709E-07
410.5,0.0000001
411,0.0000001
411.5,1.18714E-05
412,3.49224E-05
412.5,6.72432E-05
413,0.000102869
413.5,0.000119418
414,0.000111946
414.5,8.14564E-05
415,5.02592E-05
415.5,2.20616E-05
416,7.24513E-06
416.5,2.22298E-06
417,1.7238E-06
417.5,3.44574E-06
418,2.00325E-06
418.5,5.68601E-06
419,0.0000001
419.5,0.0000001
420,0.0000001
420.5,0.0000001
421,0.0000001
421.5,0.0000001
422,0.0000001
422.5,0.0000001
423,0.0000001
423.5,0.0000001
424,1.13325E-05
424.5,4.82098E-05
425,0.000116841
425.5,0.000204413
426,0.000269576
426.5,0.000285761
427,0.000249372
427.5,0.000178922
428,0.000101295
428.5,4.71718E-05
429,1.86398E-05
429.5,6.10457E-06
430,3.74448E-06
430.5,1.09422E-06
431,4.49666E-06
431.5,0.0000001
432,2.10206E-06
432.5,3.43665E-06
433,7.35364E-06
433.5,2.2002E-06
434,4.59063E-06
434.5,6.56519E-07
435,0.0000001
435.5,0.0000001
436,0.0000001
436.5,8.75688E-06
437,8.66147E-06
437.5,5.99093E-06
438,1.20508E-07
438.5,0.0000001
439,0.0000001
439.5,2.30343E-06
440,1.95027E-06
440.5,1.45881E-07
441,1.01807E-06
441.5,0.0000001
442,2.37477E-06
442.5,1.88661E-06
443,1.13303E-05
443.5,1.81872E-05
444,2.57794E-05
444.5,2.91387E-05
445,2.33029E-05
445.5,1.52338E-05
446,5.39335E-06
446.5,2.79813E-06
447,2.97241E-07
447.5,3.78503E-06
448,4.68761E-06
448.5,0.0000001
449,0.0000001
449.5,0.0000001
450,0.0000001
450.5,0.0000001
451,0.0000001
451.5,1.8965E-06
452,2.05577E-06
452.5,1.3488E-06
453,8.51581E-06
453.5,7.16729E-05
454,0.000204036
454.5,0.000415925
455,0.000637123
455.5,0.000760593
